Gold (grams),Monthly Income (PKR),Monthly Expenses (PKR),Marital Status,Employment Type,Region,Income (USD),Assets (USD),Liabilities (USD),Dependents,Net Worth (USD),Zakat Eligibility
199,261048,179115,Divorced,Business,Urban,9451,326427,213956,2,112471,0
32,297544,298684,Divorced,Business,Urban,2458,364697,194525,4,170172,0
140,128368,9749,Single,Unemployed,Urban,3035,106423,204913,3,-98490,1
42,69774,381038,Widowed,Freelancer,Rural,7801,17663,33007,1,-15344,1
148,419093,208279,Single,Unemployed,Rural,249,417638,279670,9,137968,0
161,106986,3827,Married,Business,Urban,1533,437423,270790,4,166633,0
29,432663,318436,Single,Freelancer,Urban,4721,495237,55448,2,439789,0
19,441052,118667,Divorced,Salaried,Rural,4341,474676,33851,4,440825,0
81,427796,221003,Widowed,Business,Rural,3819,200684,22051,0,178633,0
119,347353,37664,Married,Salaried,Urban,1433,395706,82106,6,313600,0
163,469284,187968,Divorced,Business,Urban,9806,75519,14249,4,61270,0
6,30044,288958,Divorced,Unemployed,Urban,4869,64847,41532,8,23315,0
196,120528,218174,Divorced,Salaried,Rural,7544,486944,34689,6,452255,0
8,237825,268945,Divorced,Unemployed,Urban,8709,31755,186525,7,-154770,1
44,151812,296216,Divorced,Freelancer,Urban,5681,94669,273663,6,-178994,1
17,436070,90089,Married,Unemployed,Rural,4925,100595,133476,8,-32881,1
46,287684,174742,Divorced,Unemployed,Rural,9523,140287,33211,8,107076,0
113,366380,111139,Divorced,Unemployed,Rural,6427,420993,263460,0,157533,0
0,364788,145861,Divorced,Salaried,Urban,7893,371020,297316,1,73704,0
77,495782,370342,Widowed,Unemployed,Rural,9718,479403,205408,5,273995,0
71,32646,236826,Divorced,Salaried,Urban,387,250642,129870,7,120772,0
52,41410,152794,Single,Business,Urban,5296,68193,131529,3,-63336,1
36,342495,365686,Married,Business,Rural,2822,248200,56707,8,191493,0
19,123638,46322,Married,Freelancer,Urban,3862,181662,70748,1,110914,0
94,84278,109321,Single,Business,Urban,1754,6478,214687,5,-208209,1
198,438925,80119,Divorced,Business,Rural,6833,82051,212909,7,-130858,1
185,333479,194168,Married,Freelancer,Rural,6199,361198,67973,1,293225,0
119,454822,75191,Divorced,Business,Urban,4589,261694,223085,0,38609,0
40,262425,390088,Widowed,Freelancer,Urban,4972,301741,166424,6,135317,0
165,381570,377997,Single,Unemployed,Urban,5213,473247,160202,9,313045,0
43,202493,106691,Married,Business,Rural,4846,430416,182788,8,247628,0
120,114807,307017,Married,Unemployed,Rural,2843,232836,291717,7,-58881,1
142,171920,81231,Divorced,Unemployed,Rural,7002,288236,136331,7,151905,0
112,487818,396446,Single,Salaried,Urban,4915,27046,38852,6,-11806,1
126,180076,211003,Widowed,Unemployed,Urban,6606,115552,16512,7,99040,0
162,122318,257038,Widowed,Freelancer,Urban,7383,436955,29960,7,406995,0
80,90401,343476,Married,Salaried,Rural,7599,63939,108675,3,-44736,1
26,407316,215483,Divorced,Unemployed,Rural,6184,396187,107785,2,288402,0
20,424489,52940,Divorced,Business,Rural,7069,198540,245606,3,-47066,1
39,21682,91090,Divorced,Unemployed,Urban,6157,341979,248739,7,93240,0
43,52836,387522,Widowed,Unemployed,Urban,2661,89338,203730,6,-114392,1
108,57896,213109,Divorced,Unemployed,Urban,3955,259710,200510,4,59200,0
89,83148,375734,Single,Unemployed,Rural,4277,127852,216682,1,-88830,1
171,35286,237815,Married,Business,Urban,706,468280,129768,8,338512,0
4,393728,165391,Divorced,Salaried,Urban,7216,378338,124469,9,253869,0
96,57425,101426,Widowed,Freelancer,Urban,9467,67943,122741,5,-54798,1
123,400075,302455,Single,Freelancer,Rural,4589,274711,143623,1,131088,0
176,366446,170459,Married,Salaried,Rural,5979,315400,295781,0,19619,0
196,176876,247314,Married,Business,Urban,7535,32774,124013,5,-91239,1
148,462086,125614,Divorced,Salaried,Urban,4661,429156,256116,2,173040,0
7,282550,117139,Widowed,Business,Urban,3290,222073,108576,2,113497,0
65,69444,199669,Widowed,Salaried,Urban,5017,137571,207608,9,-70037,1
118,485484,337049,Married,Unemployed,Urban,8211,275221,99418,8,175803,0
164,486068,43831,Divorced,Freelancer,Rural,4545,481410,128977,6,352433,0
141,341229,314513,Widowed,Unemployed,Rural,7954,346695,90459,2,256236,0
161,274919,84998,Widowed,Business,Urban,5564,264195,191608,5,72587,0
116,342623,331215,Single,Unemployed,Urban,2276,332778,202375,7,130403,0
107,15579,290122,Married,Unemployed,Rural,2857,313513,14827,2,298686,0
59,407351,373374,Divorced,Business,Urban,6418,87169,29752,4,57417,0
188,365488,102823,Single,Business,Rural,6344,255924,137994,4,117930,0
173,448301,280571,Divorced,Business,Urban,4112,469805,242938,0,226867,0
148,347375,214239,Widowed,Unemployed,Rural,8114,262759,183765,4,78994,0
17,159947,3191,Married,Freelancer,Urban,2956,65029,226352,9,-161323,1
111,74608,255595,Single,Freelancer,Rural,972,27192,239293,1,-212101,1
60,464978,399970,Married,Business,Urban,8081,51797,167290,8,-115493,1
196,137362,124192,Widowed,Business,Rural,8033,284290,277410,5,6880,0
161,323223,368757,Married,Salaried,Urban,8514,244240,64965,1,179275,0
81,246256,260462,Divorced,Unemployed,Urban,1327,37193,241275,9,-204082,1
181,410568,301957,Widowed,Business,Rural,4836,329815,271438,5,58377,0
98,63848,144754,Divorced,Salaried,Rural,4766,217326,173419,4,43907,0
89,17998,343269,Single,Unemployed,Urban,1334,6971,126704,4,-119733,1
156,308942,31212,Divorced,Unemployed,Rural,2908,92519,119840,7,-27321,1
168,406920,387319,Single,Business,Rural,3433,178214,148553,0,29661,0
91,69736,179915,Widowed,Salaried,Rural,2405,326299,193804,3,132495,0
197,89422,123445,Widowed,Unemployed,Rural,2522,221693,85376,7,136317,0
89,270219,279457,Married,Salaried,Rural,1296,346854,170361,4,176493,0
57,191961,163890,Married,Freelancer,Rural,981,234366,136360,9,98006,0
157,386172,205805,Married,Freelancer,Urban,8569,25388,34767,2,-9379,1
160,236972,66412,Widowed,Salaried,Rural,4359,488541,91718,2,396823,0
190,301333,246847,Married,Business,Rural,5138,40539,295834,0,-255295,1
95,199803,380317,Single,Business,Urban,4718,361859,178366,3,183493,0
33,47830,330165,Widowed,Freelancer,Urban,249,67537,43046,6,24491,0
118,121504,111495,Single,Unemployed,Urban,2520,388902,297289,6,91613,0
118,449241,264433,Widowed,Salaried,Rural,2156,161154,220613,7,-59459,1
48,19979,8184,Married,Unemployed,Urban,2008,391548,5939,4,385609,0
11,443209,397658,Divorced,Unemployed,Rural,7269,326381,152035,3,174346,0
149,81970,76351,Married,Unemployed,Rural,4186,468800,149448,2,319352,0
151,31649,22079,Single,Unemployed,Rural,8873,14432,218535,5,-204103,1
55,32859,349049,Divorced,Business,Rural,9160,221199,289276,9,-68077,1
152,493078,122323,Married,Unemployed,Rural,8015,339501,197390,4,142111,0
193,205581,221027,Widowed,Salaried,Urban,528,215801,25570,4,190231,0
128,310316,7111,Widowed,Business,Urban,1710,251815,207449,3,44366,0
117,406022,218498,Married,Business,Urban,8505,377014,266610,8,110404,0
161,488242,70568,Single,Unemployed,Rural,1148,66211,52075,7,14136,0
132,255921,173957,Single,Freelancer,Rural,8745,122811,36379,9,86432,0
16,238228,243036,Widowed,Business,Rural,9999,485982,233534,7,252448,0
128,7703,107967,Single,Salaried,Urban,5542,319011,166990,4,152021,0
148,251313,321184,Single,Freelancer,Rural,9434,351395,260466,0,90929,0
5,214957,29401,Divorced,Freelancer,Rural,1179,344238,128516,2,215722,0
74,496329,163396,Divorced,Unemployed,Urban,9972,486191,203385,7,282806,0
38,440904,15266,Single,Freelancer,Rural,1906,31113,60534,0,-29421,1
186,73228,128711,Widowed,Salaried,Rural,7462,26389,203884,8,-177495,1
147,102821,39643,Divorced,Salaried,Urban,8704,207899,233177,5,-25278,1
83,50662,173342,Married,Freelancer,Urban,8066,339619,74688,0,264931,0
191,442674,41736,Divorced,Business,Rural,1462,234783,275910,7,-41127,1
117,141223,122334,Married,Salaried,Rural,8971,451181,36273,4,414908,0
151,299082,186414,Single,Business,Rural,5154,334348,277770,6,56578,0
40,105649,114377,Married,Freelancer,Rural,2312,418465,116018,1,302447,0
118,54533,160224,Single,Freelancer,Urban,3629,240704,111126,9,129578,0
89,359820,364960,Widowed,Freelancer,Urban,4816,452303,148865,9,303438,0
66,213354,80930,Single,Business,Rural,6666,419290,140847,6,278443,0
37,54109,242331,Single,Business,Rural,6194,48789,43617,2,5172,0
37,464359,202715,Divorced,Unemployed,Rural,9727,496286,237616,4,258670,0
27,496194,354492,Married,Business,Urban,5026,266671,148234,8,118437,0
9,178334,259196,Widowed,Salaried,Urban,1783,250588,146502,4,104086,0
151,466029,347387,Divorced,Freelancer,Urban,964,210069,117237,4,92832,0
61,393607,86872,Single,Business,Urban,2850,132934,73625,8,59309,0
103,147697,368112,Divorced,Business,Urban,5828,293174,282278,1,10896,0
179,294159,354411,Single,Business,Urban,6544,422567,269292,5,153275,0
111,258891,218362,Married,Salaried,Rural,4358,330883,239860,8,91023,0
70,252109,54734,Single,Business,Urban,1943,298829,231393,1,67436,0
151,140898,35325,Single,Salaried,Rural,8529,441130,207236,1,233894,0
94,404340,361741,Divorced,Freelancer,Urban,9944,355192,50791,0,304401,0
113,338074,347481,Single,Salaried,Urban,6031,253520,251312,3,2208,1
49,425969,16048,Married,Unemployed,Urban,4615,271168,296469,1,-25301,1
165,289075,187512,Widowed,Unemployed,Urban,8918,499841,127477,7,372364,0
68,429683,296722,Married,Freelancer,Urban,3390,420817,26734,4,394083,0
145,486782,95523,Single,Unemployed,Urban,1799,280450,149465,0,130985,0
199,442084,200144,Married,Freelancer,Rural,9892,79799,245718,6,-165919,1
98,498349,387401,Single,Salaried,Urban,2601,453332,270658,8,182674,0
176,57139,231336,Single,Unemployed,Rural,6331,409676,278721,3,130955,0
16,255245,364462,Married,Business,Urban,4276,465968,235317,1,230651,0
118,457866,392585,Divorced,Freelancer,Urban,5382,429806,136676,1,293130,0
85,189287,105640,Widowed,Unemployed,Urban,6157,11674,268785,6,-257111,1
117,309623,117970,Widowed,Unemployed,Rural,8307,232569,32098,9,200471,0
52,25047,240064,Single,Unemployed,Rural,8171,439867,42702,2,397165,0
133,498984,188035,Divorced,Unemployed,Rural,1820,16834,196836,5,-180002,1
93,369287,356975,Divorced,Business,Urban,1553,37828,13314,8,24514,0
193,316873,370730,Widowed,Business,Urban,909,83197,179438,5,-96241,1
132,88962,5094,Single,Freelancer,Rural,3833,142840,188257,6,-45417,1
129,155378,111173,Married,Salaried,Rural,3543,274084,69512,3,204572,0
189,217793,245453,Single,Freelancer,Rural,1309,298879,134319,6,164560,0
98,114977,198745,Widowed,Unemployed,Rural,7995,78076,86263,9,-8187,1
132,439786,226023,Married,Freelancer,Urban,2487,84581,140056,1,-55475,1
158,221347,274812,Single,Salaried,Rural,8405,249647,23476,7,226171,0
80,201778,312277,Divorced,Business,Urban,7253,345025,243435,1,101590,0
190,348792,317368,Single,Salaried,Rural,8820,25309,16946,4,8363,0
73,429522,34257,Married,Unemployed,Rural,5219,435482,158247,3,277235,0
75,462325,40062,Married,Freelancer,Rural,2085,347212,113900,3,233312,0
117,228959,378046,Single,Freelancer,Urban,5265,366596,94650,5,271946,0
17,439703,60939,Widowed,Freelancer,Urban,4357,9523,162928,4,-153405,1
114,309216,193321,Married,Freelancer,Rural,9942,76473,278403,1,-201930,1
184,460446,304078,Widowed,Business,Rural,5747,97816,8497,2,89319,0
199,199746,238143,Single,Salaried,Rural,5822,384247,49344,4,334903,0
98,337134,131430,Widowed,Unemployed,Rural,3687,77914,133849,3,-55935,1
118,146602,125063,Divorced,Freelancer,Urban,1589,164669,215375,5,-50706,1
61,407648,265312,Single,Business,Rural,3742,405935,11507,5,394428,0
131,401924,233319,Single,Salaried,Rural,6069,430662,129343,8,301319,0
189,444464,71042,Married,Salaried,Urban,6603,79795,93982,0,-14187,1
45,222460,137476,Single,Business,Urban,7869,73706,239137,8,-165431,1
70,289012,313465,Divorced,Unemployed,Urban,5326,426562,10504,3,416058,0
148,111901,233785,Divorced,Unemployed,Rural,5039,75918,64122,8,11796,0
59,360913,28918,Single,Unemployed,Urban,1766,370128,293782,7,76346,0
172,409864,158532,Widowed,Freelancer,Urban,5313,137154,34469,5,102685,0
107,473985,129692,Married,Freelancer,Rural,1671,190780,24409,3,166371,0
78,389045,73006,Widowed,Business,Rural,1823,356033,63443,3,292590,0
149,295661,65701,Divorced,Freelancer,Urban,5429,19565,120985,3,-101420,1
192,148637,115465,Single,Unemployed,Rural,2415,330948,178185,3,152763,0
5,24743,243164,Single,Unemployed,Rural,2542,228062,72840,1,155222,0
64,112222,101122,Widowed,Unemployed,Rural,1872,315875,226471,9,89404,0
82,282149,248996,Divorced,Unemployed,Rural,6162,239915,13980,1,225935,0
127,64478,126560,Married,Business,Urban,7290,235974,251343,4,-15369,1
154,133810,175398,Single,Business,Rural,6560,174206,278629,5,-104423,1
137,213889,202254,Widowed,Salaried,Rural,9234,42648,176023,9,-133375,1
126,429558,315322,Divorced,Freelancer,Rural,4788,379114,29534,1,349580,0
182,129939,378982,Single,Salaried,Urban,6820,478324,133659,0,344665,0
161,136410,333513,Widowed,Business,Urban,6153,274648,3249,2,271399,0
40,66894,177392,Widowed,Freelancer,Urban,8259,158273,5280,3,152993,0
159,408866,358251,Divorced,Unemployed,Rural,7146,72769,41596,3,31173,0
194,276257,239104,Widowed,Freelancer,Urban,497,103049,132977,8,-29928,1
50,82969,309735,Single,Salaried,Rural,1801,140081,45842,5,94239,0
109,140259,234443,Widowed,Salaried,Urban,4501,285936,245712,2,40224,0
79,146130,216975,Widowed,Unemployed,Rural,897,108357,126810,9,-18453,1
166,159561,89124,Married,Salaried,Urban,7805,139658,109834,8,29824,0
4,272856,79683,Married,Unemployed,Urban,4084,297840,82999,1,214841,0
57,60996,99672,Divorced,Freelancer,Urban,2361,472924,43780,7,429144,0
144,480821,187446,Single,Freelancer,Urban,8270,29853,212547,4,-182694,1
150,244132,217981,Widowed,Unemployed,Rural,8737,450004,68998,8,381006,0
173,232999,136189,Married,Business,Urban,4464,471706,139801,6,331905,0
111,238201,35022,Widowed,Freelancer,Rural,2739,489454,270640,8,218814,0
134,499222,242661,Widowed,Business,Rural,8575,226345,5642,9,220703,0
104,205379,41534,Widowed,Freelancer,Rural,332,198691,186231,0,12460,0
61,367705,311249,Divorced,Freelancer,Urban,2654,103724,232659,7,-128935,1
6,487459,116858,Married,Business,Rural,971,13536,16795,2,-3259,1
14,37154,179952,Widowed,Salaried,Rural,6417,323354,238088,7,85266,0
124,207920,42704,Married,Unemployed,Rural,5812,159998,91314,1,68684,0
157,184826,70778,Widowed,Salaried,Urban,9298,166199,277953,1,-111754,1
19,252598,392243,Widowed,Salaried,Urban,2486,434084,63183,3,370901,0
194,429224,96862,Single,Business,Rural,5837,208069,235382,9,-27313,1
85,112819,249339,Single,Salaried,Rural,6557,45094,217529,4,-172435,1
111,151993,45924,Married,Business,Urban,4319,467847,294598,9,173249,0
53,117905,242733,Widowed,Freelancer,Urban,3318,365899,52842,1,313057,0
177,165151,191735,Married,Unemployed,Rural,8281,407470,86450,2,321020,0
70,204289,262796,Widowed,Unemployed,Urban,9672,105154,180611,4,-75457,1
94,131753,242413,Married,Salaried,Urban,5623,270901,100123,2,170778,0
176,403186,122517,Married,Business,Urban,9104,77482,206448,2,-128966,1
49,296674,98628,Divorced,Salaried,Urban,509,310515,189513,3,121002,0
2,136091,258153,Divorced,Freelancer,Rural,7818,426123,92476,4,333647,0
117,255088,337890,Married,Business,Urban,486,418343,75310,2,343033,0
106,87712,193598,Single,Unemployed,Urban,9391,410989,193255,0,217734,0
191,28606,113038,Single,Unemployed,Urban,3323,220399,148240,2,72159,0
45,132216,127351,Widowed,Salaried,Rural,5113,326402,230706,4,95696,0
80,385121,34750,Divorced,Unemployed,Rural,8031,86368,180249,5,-93881,1
114,40242,323589,Married,Unemployed,Urban,9778,42737,283495,7,-240758,1
149,482108,227445,Single,Unemployed,Urban,2935,57420,7942,6,49478,0
179,203321,55114,Widowed,Salaried,Rural,4346,109323,58589,1,50734,0
36,50110,101020,Widowed,Salaried,Rural,1822,5284,261484,4,-256200,1
124,284436,43992,Married,Freelancer,Urban,5562,44678,37719,2,6959,0
59,22584,206069,Widowed,Business,Urban,8534,469061,217248,7,251813,0
194,467304,69676,Divorced,Unemployed,Urban,1685,435880,172334,0,263546,0
175,421891,223610,Divorced,Freelancer,Urban,7319,25987,90852,2,-64865,1
157,430609,244542,Single,Business,Rural,2881,70102,297861,6,-227759,1
96,450275,192981,Married,Freelancer,Urban,7938,458499,96897,6,361602,0
42,151400,321298,Divorced,Freelancer,Urban,9807,470210,143520,7,326690,0
137,15506,309021,Single,Unemployed,Rural,5175,12965,268473,3,-255508,1
70,196865,236845,Widowed,Business,Urban,2220,257178,248963,0,8215,0
95,40446,194082,Married,Unemployed,Urban,5007,458634,211374,0,247260,0
1,173141,286235,Married,Salaried,Urban,1917,99676,57308,0,42368,0
71,384475,222279,Widowed,Unemployed,Rural,8822,289884,130755,6,159129,0
66,455403,265736,Divorced,Freelancer,Rural,8802,11428,24573,0,-13145,1
173,150128,25546,Widowed,Freelancer,Rural,1366,486010,185568,9,300442,0
116,353179,332890,Widowed,Salaried,Rural,6462,62393,178670,4,-116277,1
168,351183,139485,Single,Salaried,Urban,1034,237546,86850,7,150696,0
3,234198,106609,Married,Salaried,Urban,7030,255367,229199,1,26168,0
86,167784,264303,Widowed,Freelancer,Rural,6851,153503,249971,3,-96468,1
135,438746,259062,Single,Unemployed,Urban,9261,43385,163856,5,-120471,1
9,412343,207975,Widowed,Business,Rural,5767,405325,227028,6,178297,0
112,114643,326905,Married,Business,Rural,9915,407409,40127,4,367282,0
101,378648,165805,Widowed,Salaried,Rural,2311,499283,62903,7,436380,0
4,336040,82718,Married,Business,Rural,2904,12247,266450,9,-254203,1
73,128122,255094,Married,Freelancer,Urban,716,151004,3883,2,147121,0
89,362651,334610,Single,Unemployed,Urban,8246,375995,10240,6,365755,0
112,120117,308850,Widowed,Business,Rural,6604,311488,178761,6,132727,0
79,208038,10218,Widowed,Salaried,Urban,9659,3337,147768,1,-144431,1
120,361965,151289,Widowed,Unemployed,Rural,9201,197906,150294,0,47612,0
186,442170,12332,Divorced,Freelancer,Rural,2354,188454,255911,1,-67457,1
185,132095,165099,Married,Business,Rural,8344,333484,76147,9,257337,0
150,447615,294189,Divorced,Business,Rural,7454,177327,222829,2,-45502,1
60,395482,115634,Married,Unemployed,Rural,5426,383377,229797,6,153580,0
144,255642,345336,Divorced,Business,Urban,343,193270,105619,0,87651,0
27,177349,378749,Widowed,Unemployed,Urban,9884,155877,245075,9,-89198,1
145,141107,247381,Single,Salaried,Urban,5501,92998,287312,0,-194314,1
51,415316,179555,Married,Unemployed,Urban,104,143319,91866,8,51453,0
57,306733,317943,Married,Business,Urban,7881,42069,128419,4,-86350,1
168,404152,159634,Divorced,Freelancer,Rural,6306,273167,6699,8,266468,0
78,378056,131080,Divorced,Business,Rural,3823,325765,20786,7,304979,0
0,155794,357599,Divorced,Salaried,Rural,791,92522,13171,8,79351,0
96,300194,312847,Single,Business,Urban,8805,439750,168351,8,271399,0
72,476524,112682,Married,Freelancer,Rural,5020,369873,147569,4,222304,0
107,34241,160013,Single,Freelancer,Urban,5377,313954,67162,9,246792,0
144,485191,158406,Single,Business,Rural,1151,384377,158413,8,225964,0
3,276552,319780,Divorced,Business,Rural,4264,132272,252835,0,-120563,1
100,138646,80076,Widowed,Business,Rural,6398,347773,50378,1,297395,0
45,246489,48146,Divorced,Freelancer,Rural,5419,498255,92400,3,405855,0
69,480114,328391,Married,Business,Urban,1796,287122,12262,6,274860,0
5,180448,51376,Widowed,Unemployed,Urban,6129,248786,58212,3,190574,0
82,221320,330726,Married,Freelancer,Rural,2934,225258,84361,6,140897,0
150,61850,221317,Married,Salaried,Urban,5585,389824,31818,8,358006,0
93,26687,89339,Widowed,Business,Urban,7540,423036,287313,8,135723,0
119,197191,361231,Divorced,Freelancer,Rural,4801,496277,47333,9,448944,0
128,170665,69124,Divorced,Business,Urban,2902,316702,257079,1,59623,0
188,270791,288956,Widowed,Unemployed,Rural,6344,56461,41193,3,15268,0
149,225937,200735,Single,Unemployed,Urban,3503,407069,288209,1,118860,0
192,437315,182104,Married,Business,Rural,5546,52062,257638,7,-205576,1
122,394116,168497,Single,Salaried,Rural,6468,383794,125133,9,258661,0
56,43566,3484,Married,Unemployed,Urban,7714,66207,244125,5,-177918,1
163,174708,384127,Married,Salaried,Rural,1090,486442,217824,4,268618,0
24,366537,239343,Married,Business,Rural,2776,408307,18676,6,389631,0
15,38055,128193,Single,Business,Rural,4411,70672,44190,2,26482,0
153,14266,149921,Widowed,Business,Urban,8735,142299,299056,6,-156757,1
4,282273,67678,Widowed,Business,Urban,5498,50785,122043,7,-71258,1
111,289216,395700,Single,Unemployed,Urban,9793,382269,271926,4,110343,0
149,252891,21898,Single,Business,Rural,3079,243472,38782,1,204690,0
13,43075,210605,Widowed,Freelancer,Rural,1292,18108,179872,6,-161764,1
79,171070,297360,Divorced,Freelancer,Rural,2290,272261,147927,7,124334,0
126,31373,84415,Widowed,Business,Rural,2198,312303,115798,9,196505,0
69,329086,241318,Divorced,Business,Rural,6781,276828,32637,0,244191,0
16,425358,238652,Widowed,Freelancer,Urban,1239,68616,123291,5,-54675,1
0,459593,22307,Single,Unemployed,Rural,4386,61854,290504,6,-228650,1
145,105688,107709,Divorced,Business,Urban,7018,254365,148164,4,106201,0
74,245793,130803,Divorced,Business,Urban,5342,46138,265188,2,-219050,1
10,451581,68245,Single,Salaried,Urban,2568,295752,279015,1,16737,0
91,156902,174495,Married,Unemployed,Urban,7490,121974,32963,4,89011,0
11,345598,61213,Divorced,Salaried,Urban,3162,219113,159715,7,59398,0
161,327913,97308,Single,Salaried,Rural,9856,93577,119023,9,-25446,1
79,185433,44593,Married,Salaried,Rural,1940,13669,203665,5,-189996,1
109,26736,86433,Divorced,Freelancer,Urban,8784,415136,287501,4,127635,0
102,9219,148834,Single,Business,Rural,9333,357378,184018,9,173360,0
135,307058,351881,Widowed,Freelancer,Urban,8340,411868,269096,8,142772,0
41,284117,191670,Widowed,Salaried,Rural,9348,234726,178188,2,56538,0
141,177164,223948,Widowed,Freelancer,Rural,2666,178996,112329,7,66667,0
178,148574,364828,Widowed,Unemployed,Urban,2574,4987,121965,7,-116978,1
136,303751,159859,Married,Unemployed,Urban,6934,244008,235971,7,8037,0
82,173960,136584,Divorced,Salaried,Urban,2895,419533,131263,2,288270,0
97,13531,171660,Widowed,Business,Urban,2959,344334,252877,3,91457,0
110,319602,47534,Widowed,Freelancer,Rural,1380,217334,41982,8,175352,0
165,425476,326146,Single,Unemployed,Rural,4592,59890,74808,0,-14918,1
127,203244,163700,Single,Business,Rural,1005,196233,151534,2,44699,0
156,233928,196103,Divorced,Freelancer,Rural,4346,143311,117602,6,25709,0
28,424593,148480,Widowed,Unemployed,Urban,7647,345056,26937,0,318119,0
27,172158,369706,Single,Freelancer,Urban,6034,52315,41207,4,11108,0
87,246841,127438,Married,Freelancer,Urban,9839,474022,209335,1,264687,0
91,331962,102123,Single,Freelancer,Rural,6011,49130,139722,6,-90592,1
105,206540,36026,Divorced,Salaried,Rural,4308,458007,239028,7,218979,0
121,231600,198248,Widowed,Unemployed,Urban,7741,62926,156267,8,-93341,1
75,252225,342525,Married,Salaried,Rural,7155,428812,114473,6,314339,0
82,101236,76875,Single,Salaried,Rural,6854,361170,274786,1,86384,0
5,444372,350342,Single,Business,Urban,9202,28938,35928,9,-6990,1
1,392651,154149,Widowed,Freelancer,Rural,1978,358540,93270,2,265270,0
52,206495,305839,Married,Unemployed,Urban,6598,206247,295695,8,-89448,1
113,475639,177661,Married,Freelancer,Rural,1770,277178,221296,9,55882,0
102,324962,17750,Divorced,Freelancer,Rural,1889,200927,292709,8,-91782,1
30,7359,200519,Single,Salaried,Rural,3287,356021,244557,2,111464,0
36,57601,153556,Married,Salaried,Rural,7125,221244,299056,2,-77812,1
183,466027,344671,Widowed,Unemployed,Urban,2112,22873,61891,1,-39018,1
117,429682,28499,Single,Business,Rural,5247,373434,204578,2,168856,0
167,277163,287110,Widowed,Business,Urban,4861,330601,151216,8,179385,0
139,233097,188428,Single,Business,Rural,4592,223823,167640,4,56183,0
54,494951,245567,Single,Freelancer,Rural,268,290192,178075,4,112117,0
184,461247,312312,Divorced,Business,Rural,2384,2544,151441,5,-148897,1
110,383832,332657,Widowed,Salaried,Rural,3984,167052,161627,5,5425,0
172,63123,176313,Widowed,Salaried,Urban,3141,419980,293735,7,126245,0
24,245011,121295,Widowed,Salaried,Urban,2464,188046,269697,5,-81651,1
169,389340,377192,Single,Freelancer,Urban,3672,12011,189298,7,-177287,1
145,375759,139644,Divorced,Business,Urban,4301,48778,104324,8,-55546,1
157,118045,282307,Widowed,Business,Urban,3505,434944,108842,4,326102,0
17,139601,300220,Widowed,Salaried,Urban,2055,50303,143499,1,-93196,1
134,348763,279193,Widowed,Freelancer,Rural,8562,200401,209530,4,-9129,1
78,145349,382405,Single,Salaried,Urban,8715,307579,293585,2,13994,0
29,290176,212099,Divorced,Salaried,Urban,9169,266411,109362,9,157049,0
132,301383,109238,Divorced,Unemployed,Urban,6416,305209,166310,5,138899,0
196,347043,357881,Single,Freelancer,Urban,5646,76672,232178,4,-155506,1
160,227194,366696,Widowed,Salaried,Urban,9274,86485,178364,9,-91879,1
5,20856,240539,Divorced,Unemployed,Urban,8483,171201,254236,2,-83035,1
47,59939,278906,Divorced,Business,Urban,5894,18013,165754,6,-147741,1
103,265524,353521,Divorced,Business,Rural,2025,203444,271793,5,-68349,1
131,206561,350491,Single,Business,Rural,1645,480081,65888,4,414193,0
140,126228,100095,Widowed,Unemployed,Rural,7282,303296,27219,8,276077,0
105,143834,316960,Married,Freelancer,Rural,111,351871,290691,0,61180,0
25,110569,325153,Married,Business,Rural,7066,243458,136076,3,107382,0
176,101748,301805,Single,Unemployed,Rural,9701,404089,49141,5,354948,0
19,326999,244308,Widowed,Salaried,Rural,6212,472521,265573,0,206948,0
159,116340,37796,Widowed,Freelancer,Rural,9613,103855,100041,8,3814,1
113,330891,271120,Divorced,Freelancer,Urban,9469,260091,166270,9,93821,0
107,166724,111784,Widowed,Unemployed,Urban,7034,178830,162240,0,16590,0
192,495579,118194,Single,Freelancer,Urban,4617,490562,217959,4,272603,0
180,450288,201659,Widowed,Business,Urban,4468,81868,46300,9,35568,0
64,286497,148846,Married,Freelancer,Urban,6166,285757,124615,0,161142,0
130,316403,287297,Married,Business,Urban,5299,414679,236828,8,177851,0
102,235757,329008,Divorced,Business,Urban,9681,103782,93854,0,9928,0
148,270565,40931,Widowed,Unemployed,Rural,9150,108061,208373,2,-100312,1
42,93709,189064,Single,Business,Urban,316,181418,34581,0,146837,0
24,135677,85880,Married,Salaried,Urban,5827,175101,170675,0,4426,1
84,147307,5946,Single,Business,Urban,5372,470303,216528,7,253775,0
110,257496,35829,Married,Business,Rural,1867,126050,901,5,125149,0
194,162338,109845,Married,Unemployed,Rural,1910,474914,144824,6,330090,0
162,403055,316387,Married,Freelancer,Rural,5713,468278,220768,2,247510,0
85,7528,369986,Single,Business,Urban,3103,313358,194569,3,118789,0
150,356220,8620,Single,Freelancer,Urban,8505,397985,205577,9,192408,0
12,36953,221184,Widowed,Unemployed,Rural,8035,205798,110182,1,95616,0
22,290369,359526,Divorced,Salaried,Urban,4846,125665,53810,4,71855,0
62,174811,150469,Widowed,Business,Rural,1616,46161,62692,0,-16531,1
98,488006,336324,Single,Freelancer,Urban,8914,163938,26216,9,137722,0
82,411642,105271,Widowed,Salaried,Urban,4841,144150,40241,6,103909,0
